nom;annee
Laurent Boyer;1958-01-23
Myriam Boyer;1948-05-23
Danny Boyle;1956-10-20
Marcel Bozzuffi;1928-10-28
Lorraine Bracco;1954-10-02
Arturo Brachetti;1957-10-13
Ray Bradbury;1920-08-22
Zach Braff;1975-04-06
Johannes Brahms;1833-05-07
Louis Braille;1809-01-04
Kenneth Branagh;1960-12-10
Marlon Brando;1924-04-03
Willy Brandt;1913-12-18
Richard Branson;1950-07-18
Mike Brant;1947-02-01
Georges Braque;1882-05-13
Georges Brassens;1921-10-22
Claude Brasseur;1936-06-15
Alexandre Brasseur;1971-03-29
Pierre Brasseur;1905-12-22
Be
